"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"00728","第一金工業30","市","05/02","","22.88","+0.09","+0.39","237","5.41","22.79","22.79","22.94","22.79","0.66","","","    ","    ","    ","    "
"00730","富邦臺灣優質高息","市","05/02","","18.24","+0.07","+0.39","76","1.39","18.17","18.17","18.3","18.17","0.72","","","    ","    ","    ","    "
"00731","復華富時高息低波","市","05/02","","57.25","+0.25","+0.44","1,045","59.8","57","57","57.3","57","0.53","","","    ","    ","    ","    "
"00733","富邦臺灣中小","市","05/02","","37.86","+1.24","+3.39","347","13.1","36.62","36.62","37.93","36.62","3.58","","","    ","    ","    ","    "
"00734B","台新JPM新興債","櫃","05/02","","15.72","+0.1","+0.64","1,014","15.9","15.62","15.67","15.74","15.67","0.45","","","    ","    ","    ","    "
"00735","國泰臺韓科技","市","05/02","","26.3","+0.24","+0.92","102","2.68","26.06","26.16","26.3","26.16","0.54","","","    ","    ","    ","    "
"00736","國泰新興市場","市","05/02","","19.5","+0.11","+0.57","105","2.06","19.39","19.54","19.54","19.5","0.21","","","    ","    ","    ","    "
"00737","國泰AI+Robo","市","05/02","","27.23","+0.28","+1.04","78","2.11","26.95","27.18","27.24","27.14","0.37","","","    ","    ","    ","    "
"00738U","期元大道瓊白銀","市","05/02","","24.48","-0.12","-0.49","1,302","31.9","24.6","24.56","24.63","24.43","0.81","","","    ","    ","    ","    "
"00739","元大MSCI A股","市","05/02","","23.37","+0.06","+0.26","33","0.76","23.31","23.47","23.47","23.17","1.29","","","    ","    ","    ","    "
"00740B","富邦全球投等債","櫃","05/02","","38.78","-0.32","-0.82","2,275","88.4","39.1","39.1","39.1","38.75","0.9","","","    ","    ","    ","    "
"00741B","富邦全球非投等債","櫃","05/02","","35.96","+0.1","+0.28","102","3.68","35.86","35.93","35.96","35.93","0.08","","","    ","    ","    ","    "
"00744B","國泰中國政金債5+","櫃","05/02","","43.57","+0.13","+0.3","102","4.46","43.44","43.57","43.6","43.57","0.07","","","    ","    ","    ","    "
