"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"00897","富邦基因免疫生技","市","05/02","","7.69","+0.16","+2.12","1,727","13.2","7.53","7.62","7.69","7.62","0.93","","","    ","    ","    ","    "
"00898","國泰基因免疫革命","市","05/02","","7.55","+0.16","+2.17","925","6.98","7.39","7.54","7.57","7.54","0.41","","","    ","    ","    ","    "
"00899","FT潔淨能源","市","05/02","","21.22","-0.17","-0.79","69","1.46","21.39","21.22","21.23","21.2","0.14","","","    ","    ","    ","    "
"00900","富邦特選高股息30","市","05/02","","11.42","+0.06","+0.53","5,689","64.9","11.36","11.36","11.44","11.36","0.7","","","    ","    ","    ","    "
"00901","永豐智能車供應鏈","市","05/02","","12.77","+0.09","+0.71","850","10.8","12.68","12.7","12.79","12.65","1.1","","","    ","    ","    ","    "
"00902","中信電池及儲能","市","05/02","","11.92","+0.08","+0.68","3,164","37.7","11.84","11.86","11.99","11.85","1.18","","","    ","    ","    ","    "
"00903","富邦元宇宙","市","05/02","","10.17","+0.18","+1.8","4,888","49.6","9.99","10.02","10.18","10.02","1.6","","","    ","    ","    ","    "
"00904","新光臺灣半導體30","市","05/02","","11.77","+0.09","+0.77","845","9.93","11.68","11.7","11.83","11.63","1.71","","","    ","    ","    ","    "
"00905","FT臺灣Smart","市","05/02","","8.95","+0.03","+0.34","1,580","14.1","8.92","8.92","8.99","8.92","0.78","","","    ","    ","    ","    "
"00906","大華元宇宙科技50","市","05/02","","10.84","+0.06","+0.56","15","0.17","10.78","10.78","10.84","10.77","0.65","","","    ","    ","    ","    "
"00907","永豐優息存股","市","05/02","","14.56","+0.06","+0.41","681","9.91","14.5","14.51","14.57","14.51","0.41","","","    ","    ","    ","    "
"00908","富邦入息REITs+","市","05/02","","11.98","+0.02","+0.17","864","10.3","11.96","11.96","12","11.96","0.33","","","    ","    ","    ","    "
"00909","國泰數位支付服務","市","05/02","","16.48","+0.14","+0.86","181","2.98","16.34","16.48","16.48","16.46","0.12","","","    ","    ","    ","    "
"00910","第一金太空衛星","市","05/02","","14.92","+0.06","+0.4","148","2.22","14.86","14.96","14.96","14.92","0.27","","","    ","    ","    ","    "
"00911","兆豐洲際半導體","市","05/02","","16.92","+0.34","+2.05","198","3.33","16.58","16.58","16.92","16.56","2.17","","","    ","    ","    ","    "
"00912","中信臺灣智慧50","市","05/02","","14.3","+0.02","+0.14","1,777","25.4","14.28","14.34","14.38","14.28","0.7","","","    ","    ","    ","    "
"00913","兆豐台灣晶圓製造","市","05/02","","15.91","+0.12","+0.76","21","0.33","15.79","15.79","15.92","15.75","1.08","","","    ","    ","    ","    "
"00915","凱基優選高股息30","市","05/02","","16.58","+0.1","+0.61","456","7.55","16.48","16.49","16.61","16.49","0.73","","","    ","    ","    ","    "
"00916","國泰全球品牌50","市","05/02","","16.48","+0.1","+0.61","937","15.4","16.38","16.4","16.49","16.4","0.55","","","    ","    ","    ","    "
"00917","中信特選金融","市","05/02","","15.04","+0.15","+1.01","664","9.99","14.89","14.96","15.06","14.96","0.67","","","    ","    ","    ","    "
"00918","大華優利高填息30","市","05/02","","17.11","+0.15","+0.88","209","3.57","16.96","17.09","17.13","17","0.77","","","    ","    ","    ","    "
"00919","群益台灣精選高息","市","05/02","","18.48","+0.07","+0.38","3,736","68.9","18.41","18.42","18.51","18.31","1.09","","","    ","    ","    ","    "
"00920","富邦ESG綠色電力","市","05/02","","16.47","-0.08","-0.48","330","5.45","16.55","16.55","16.55","16.45","0.6","","","    ","    ","    ","    "
"00921","兆豐龍頭等權重","市","05/02","","16.18","+0.13","+0.81","245","3.95","16.05","15.99","16.2","15.99","1.31","","","    ","    ","    ","    "
"00922","國泰台灣領袖50","市","05/02","","14.6","+0.06","+0.41","1,460","21.3","14.54","14.56","14.63","14.53","0.69","","","    ","    ","    ","    "
"00923","群益台灣ESG低碳","市","05/02","","14.62","+0.1","+0.69","3,200","46.7","14.52","14.56","14.64","14.49","1.03","","","    ","    ","    ","    "
"00924","復華S&P500成長","市","05/02","","15.1","+0.14","+0.94","24,215","365","14.96","15","15.11","14.99","0.8","","","    ","    ","    ","    "
"00925","新光標普電動車","市","05/02","","14.34","+0.16","+1.13","284","4.06","14.18","14.21","14.36","14.21","1.06","","","    ","    ","    ","    "
